Index,Poster (Excel Formula),Chinese Title,English Title,Score,Categories,Region,Duration,Release Date,Poster URL,Local Poster Path
59,"=IMAGE(""https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c"")",怦然心動,Flipped,8.8,劇情/喜劇/愛情,美國,90 分鐘,2010-07-26 上映,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c,posters/59_怦然心動.jpg
60,"=IMAGE(""https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c"")",馴龍高手,How to Train Your Dragon,8.8,喜劇/動畫/奇幻/冒險,美國,98 分鐘,2010-05-14 上映,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c,posters/60_馴龍高手.jpg
61,"=IMAGE(""https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c"")",飛屋環遊記,Up,8.8,劇情/喜劇/動畫/冒險,美國,96 分鐘,2009-08-04 上映,https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c,posters/61_飛屋環遊記.jpg
62,"=IMAGE(""https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c"")",黑客帝國3：矩陣革命,The Matrix Revolutions,8.8,動作/科幻,美國、澳大利亞,129 分鐘,2003-11-05 上映,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c,posters/62_黑客帝國3：矩陣革命.jpg
63,"=IMAGE(""https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c"")",速度與激情5,Fast Five,8.9,動作/犯罪,美國,130 分鐘,2011-05-12 上映,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c,posters/63_速度與激情5.jpg
64,"=IMAGE(""https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c"")",勇敢的心,Braveheart,8.9,劇情/動作/傳記/歷史/戰爭,美國,177 分鐘,1995-05-18 上映,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c,posters/64_勇敢的心.jpg
65,"=IMAGE(""https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c"")",三傻大鬧寶萊塢,3 Idiots,8.9,劇情/喜劇/愛情/歌舞,印度,171 分鐘,2011-12-08 上映,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c,posters/65_三傻大鬧寶萊塢.jpg
66,"=IMAGE(""https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c"")",聞香識女人,Scent of a Woman,8.9,劇情,美國,157 分鐘,1992-12-23 上映,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c,posters/66_聞香識女人.jpg
67,"=IMAGE(""https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c"")",末代皇帝,The Last Emperor,8.9,劇情/傳記/歷史,英國、意大利、中國大陸、法國、美國,163 分鐘,1987-10-23 上映,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c,posters/67_末代皇帝.jpg
68,"=IMAGE(""https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c"")",風之谷,風の谷のナウシカ,8.9,動畫/奇幻/冒險,日本,117 分鐘,,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c,posters/68_風之谷.jpg
